id,display_name,category,source,pack,product,entitlements,can_be_earned,body_fits,icon_atlas,icon_cell,presentation_sprite,attachment_asset,palette_mask,layer,effect
cosmetic.captain.clubhouse-canvas,Clubhouse Canvas,Captain,Free,launch.earned,,,true,Compact|Average|TallBroad,Assets/_JustSomeStars/Art/2D/Cosmetics/IconAtlases/CaptainSuits.png,0,Assets/_JustSomeStars/Art/2D/Cosmetics/PresentationAtlases/CaptainSuitsPresentation.png#cosmetic.captain.clubhouse-canvas,Assets/_JustSomeStars/Art/2D/Characters/Captain/Customization/Modules/{body-family-title}/{facing}/captain-{body-family-slug}-{facing}-suitComponents.png,Assets/_JustSomeStars/Art/2D/Characters/Captain/Customization/PaletteMasks/{body-family-title}/{facing}/captain-{body-family-slug}-{facing}-silhouette-costume-palette-mask.png,silhouette-costume,cosmetic.effect.captain.clubhouse-canvas
cosmetic.captain.surveyor-blue,Surveyor Blue,Captain,Earned,launch.earned,,,true,Compact|Average|TallBroad,Assets/_JustSomeStars/Art/2D/Cosmetics/IconAtlases/CaptainSuits.png,1,Assets/_JustSomeStars/Art/2D/Cosmetics/PresentationAtlases/CaptainSuitsPresentation.png#cosmetic.captain.surveyor-blue,Assets/_JustSomeStars/Art/2D/Characters/Captain/Customization/Modules/{body-family-title}/{facing}/captain-{body-family-slug}-{facing}-suitComponents.png,Assets/_JustSomeStars/Art/2D/Characters/Captain/Customization/PaletteMasks/{body-family-title}/{facing}/captain-{body-family-slug}-{facing}-silhouette-costume-palette-mask.png,silhouette-costume,cosmetic.effect.captain.surveyor-blue
cosmetic.captain.mirra-sunrise,Mirra Sunrise,Captain,Earned,launch.earned,,,true,Compact|Average|TallBroad,Assets/_JustSomeStars/Art/2D/Cosmetics/IconAtlases/CaptainSuits.png,2,Assets/_JustSomeStars/Art/2D/Cosmetics/PresentationAtlases/CaptainSuitsPresentation.png#cosmetic.captain.mirra-sunrise,Assets/_JustSomeStars/Art/2D/Characters/Captain/Customization/Modules/{body-family-title}/{facing}/captain-{body-family-slug}-{facing}-suitComponents.png,Assets/_JustSomeStars/Art/2D/Characters/Captain/Customization/PaletteMasks/{body-family-title}/{facing}/captain-{body-family-slug}-{facing}-silhouette-costume-palette-mask.png,silhouette-costume,cosmetic.effect.captain.mirra-sunrise
cosmetic.captain.mirra-frostline,Mirra Frostline,Captain,Earned,launch.earned,,,true,Compact|Average|TallBroad,Assets/_JustSomeStars/Art/2D/Cosmetics/IconAtlases/CaptainSuits.png,3,Assets/_JustSomeStars/Art/2D/Cosmetics/PresentationAtlases/CaptainSuitsPresentation.png#cosmetic.captain.mirra-frostline,Assets/_JustSomeStars/Art/2D/Characters/Captain/Customization/Modules/{body-family-title}/{facing}/captain-{body-family-slug}-{facing}-suitComponents.png,Assets/_JustSomeStars/Art/2D/Characters/Captain/Customization/PaletteMasks/{body-family-title}/{facing}/captain-{body-family-slug}-{facing}-silhouette-costume-palette-mask.png,silhouette-costume,cosmetic.effect.captain.mirra-frostline
cosmetic.captain.koro-glacier,Koro Glacier,Captain,Earned,launch.earned,,,true,Compact|Average|TallBroad,Assets/_JustSomeStars/Art/2D/Cosmetics/IconAtlases/CaptainSuits.png,4,Assets/_JustSomeStars/Art/2D/Cosmetics/PresentationAtlases/CaptainSuitsPresentation.png#cosmetic.captain.koro-glacier,Assets/_JustSomeStars/Art/2D/Characters/Captain/Customization/Modules/{body-family-title}/{facing}/captain-{body-family-slug}-{facing}-suitComponents.png,Assets/_JustSomeStars/Art/2D/Characters/Captain/Customization/PaletteMasks/{body-family-title}/{facing}/captain-{body-family-slug}-{facing}-silhouette-costume-palette-mask.png,silhouette-costume,cosmetic.effect.captain.koro-glacier
cosmetic.captain.vesper-violet,Vesper Violet,Captain,Edition,explorer_edition,,explorer_edition|complete_launch_collection,true,Compact|Average|TallBroad,Assets/_JustSomeStars/Art/2D/Cosmetics/IconAtlases/CaptainSuits.png,5,Assets/_JustSomeStars/Art/2D/Cosmetics/PresentationAtlases/CaptainSuitsPresentation.png#cosmetic.captain.vesper-violet,Assets/_JustSomeStars/Art/2D/Characters/Captain/Customization/Modules/{body-family-title}/{facing}/captain-{body-family-slug}-{facing}-suitComponents.png,Assets/_JustSomeStars/Art/2D/Characters/Captain/Customization/PaletteMasks/{body-family-title}/{facing}/captain-{body-family-slug}-{facing}-silhouette-costume-palette-mask.png,silhouette-costume,cosmetic.effect.captain.vesper-violet
cosmetic.captain.aster-drift,Aster Drift,Captain,Edition,explorer_edition,,explorer_edition|complete_launch_collection,true,Compact|Average|TallBroad,Assets/_JustSomeStars/Art/2D/Cosmetics/IconAtlases/CaptainSuits.png,6,Assets/_JustSomeStars/Art/2D/Cosmetics/PresentationAtlases/CaptainSuitsPresentation.png#cosmetic.captain.aster-drift,Assets/_JustSomeStars/Art/2D/Characters/Captain/Customization/Modules/{body-family-title}/{facing}/captain-{body-family-slug}-{facing}-suitComponents.png,Assets/_JustSomeStars/Art/2D/Characters/Captain/Customization/PaletteMasks/{body-family-title}/{facing}/captain-{body-family-slug}-{facing}-silhouette-costume-palette-mask.png,silhouette-costume,cosmetic.effect.captain.aster-drift
cosmetic.captain.signal-resonance,Signal Resonance,Captain,Edition,explorer_edition,,explorer_edition|complete_launch_collection,true,Compact|Average|TallBroad,Assets/_JustSomeStars/Art/2D/Cosmetics/IconAtlases/CaptainSuits.png,7,Assets/_JustSomeStars/Art/2D/Cosmetics/PresentationAtlases/CaptainSuitsPresentation.png#cosmetic.captain.signal-resonance,Assets/_JustSomeStars/Art/2D/Characters/Captain/Customization/Modules/{body-family-title}/{facing}/captain-{body-family-slug}-{facing}-suitComponents.png,Assets/_JustSomeStars/Art/2D/Characters/Captain/Customization/PaletteMasks/{body-family-title}/{facing}/captain-{body-family-slug}-{facing}-silhouette-costume-palette-mask.png,silhouette-costume,cosmetic.effect.captain.signal-resonance
cosmetic.captain.founder-starcape,Founder Starcape,Captain,Edition,explorer_edition,,explorer_edition|complete_launch_collection,true,Compact|Average|TallBroad,Assets/_JustSomeStars/Art/2D/Cosmetics/IconAtlases/CaptainSuits.png,8,Assets/_JustSomeStars/Art/2D/Cosmetics/PresentationAtlases/CaptainSuitsPresentation.png#cosmetic.captain.founder-starcape,Assets/_JustSomeStars/Art/2D/Characters/Captain/Customization/Modules/{body-family-title}/{facing}/captain-{body-family-slug}-{facing}-suitComponents.png,Assets/_JustSomeStars/Art/2D/Characters/Captain/Customization/PaletteMasks/{body-family-title}/{facing}/captain-{body-family-slug}-{facing}-silhouette-costume-palette-mask.png,silhouette-costume,cosmetic.effect.captain.founder-starcape
cosmetic.captain.founder-nightwatch,Founder Nightwatch,Captain,Edition,founders_constellation,,founders_constellation|complete_launch_collection,true,Compact|Average|TallBroad,Assets/_JustSomeStars/Art/2D/Cosmetics/IconAtlases/CaptainSuits.png,9,Assets/_JustSomeStars/Art/2D/Cosmetics/PresentationAtlases/CaptainSuitsPresentation.png#cosmetic.captain.founder-nightwatch,Assets/_JustSomeStars/Art/2D/Characters/Captain/Customization/Modules/{body-family-title}/{facing}/captain-{body-family-slug}-{facing}-suitComponents.png,Assets/_JustSomeStars/Art/2D/Characters/Captain/Customization/PaletteMasks/{body-family-title}/{facing}/captain-{body-family-slug}-{facing}-silhouette-costume-palette-mask.png,silhouette-costume,cosmetic.effect.captain.founder-nightwatch
